slug,title,type,url,done
"student-loan-calculator","Student Loan Calculator","calculator","",no
"loan-forgiveness-calculator","Student Loan Forgiveness Calculator","calculator","",no
"student-loan-payoff-calculator","Student Loan Payoff Calculator","calculator","",no
"student-loan-refinance-calculator","Student Loan Refinance Calculator","calculator","",no
"subscription-cost-calculator","Subscription Cost Calculator","calculator","",no
"take-home-pay-calculator","Take Home Pay Calculator","calculator","",no
"tax-bracket-calculator","Tax Bracket Calculator","calculator","",no
"tax-deduction-calculator","Tax Deduction Calculator","calculator","",no
"tax-refund-calculator","Tax Refund Calculator","calculator","",no
"term-insurance-calculator","Term Insurance Calculator","calculator","",no
"term-vs-whole-life-calculator","Term vs Whole Life Calculator","calculator","",no
"time-value-of-money-calculator","Time Value of Money Calculator","calculator","",no
"tip-calculator","Tip Calculator","calculator","",no
"car-ownership-cost-calculator","Total Cost of Ownership Calculator","calculator","",no
"traditional-ira-calculator","Traditional IRA Calculator","calculator","",no
"travel-insurance-calculator","Travel Insurance Calculator","calculator","",no
"tuition-inflation-calculator","Tuition Inflation Calculator","calculator","",no
"two-card-payoff-calculator","Two Card Payoff Calculator","calculator","",no
"vat-calculator","VAT Calculator","calculator","",no
"vacation-savings-calculator","Vacation Savings Calculator","calculator","",no
"wedding-budget-calculator","Wedding Budget Calculator","calculator","",no
"whole-life-insurance-calculator","Whole Life Insurance Calculator","calculator","",no
"withholding-tax-calculator","Withholding Tax Calculator","calculator","",no
"working-capital-calculator","Working Capital Calculator","calculator","",no
"xirr-calculator","XIRR Calculator","calculator","",no
"zero-based-budget-calculator","Zero Based Budget Calculator","calculator","",no
